subsector,is_stock_dependent,input_type,unit,driver_denominator_1,driver_denominator_2,driver_1,driver_2,geography,final_energy_index,demand_technology_index,other_index_1,other_index_2,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,final_energy,demand_technology,oth_1,oth_2,year,value,sensitivity
Light-duty vehicle,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Constrained,2040,69448000000.0,Mode switching
Light-duty vehicle,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Constrained,2050,57570200000.0,Mode switching
Light-duty vehicle,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2015,64988400000.0,Mode switching
Light-duty vehicle,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2020,61799800000.0,Mode switching
Light-duty vehicle,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2030,58132700000.0,Mode switching
Light-duty vehicle,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2040,53987200000.0,Mode switching
Light-duty vehicle,False,total,kilometer,,,,,mexico,,,metropolitan type,passenger trip type,cubic,cubic,,,,,mx,,,Non-metropolitan,Non-constrained,2050,49363200000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2015,10695100000.0,
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2020,11539700000.0,
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2030,13126700000.0,
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2040,14540700000.0,
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2050,15740200000.0,
