supply_node,geography,other_index_1,unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,oth_1,resource_bin,year,value,sensitivity
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2033,292.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2034,299.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2035,305.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2036,311.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2037,318.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2038,325.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2039,332.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2040,340.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2041,347.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2042,355.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2043,363.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2044,371.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2045,379.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2046,387.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2047,396.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2048,404.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2049,413.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,northeast,,,2050,422.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2011,590.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2012,579.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2013,519.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2014,533.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2015,557.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2016,578.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2017,593.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2018,616.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2019,638.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2020,609.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2021,609.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2022,612.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2023,620.0,
