supply_tech,geography,definition,reference_tech_id,input_unit,output_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,supply_node,efficiency_type,gau,demand_sector,resource_bin,vintage,value
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1969.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1973.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1976.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1977.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1980.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1986.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1987.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1991.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1993.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1994.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1995.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,1996.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,2000.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,2007.0,1.0
large hydro power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Hydro Primary,consumed,mx,,,2012.0,1.0
lignocellulosic anaerobic digester,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,assumes remaining lignin converted to electricity at 33% efficiency,Steam Blend,consumed,mx,,,2015.0,0.07988980700000001
lignocellulosic anaerobic digester,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,assumes remaining lignin converted to electricity at 33% efficiency,Anaerobic Digesters - Manure,leaked,mx,,,2015.0,0.01
lignocellulosic anaerobic digester,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,assumes remaining lignin converted to electricity at 33% efficiency,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,0.872
lignocellulosic anaerobic digester,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,assumes remaining lignin converted to electricity at 33% efficiency,Electricity Transmission Grid,consumed,mx,,,2015.0,-0.147768595
lignocellulosic anaerobic digester,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,assumes remaining lignin converted to electricity at 33% efficiency,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,1.0
lignocellulosic anaerobic digester w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Anaerobic Digesters - Manure,leaked,mx,,,2015.0,0.01
lignocellulosic anaerobic digester w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,1.0
lignocellulosic anaerobic digester w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2015.0,-0.09336133099999999
lignocellulosic anaerobic digester w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,0.922
lignocellulosic anaerobic digester w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,0.07988980700000001
municipal solid waste cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.14
municipal solid waste cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,2.06
municipal solid waste cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.14
municipal solid waste cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,2.2320390740000002
municipal solid waste power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2000.0,17.94759191
municipal solid waste power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2016.0,9.646
municipal solid waste power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2031.0,9.952
nuclear power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Uranium Import,consumed,mx,,,1990.0,10.3926097
nuclear power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Uranium Import,consumed,mx,,,2016.0,10.286
nuclear power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Uranium Import,consumed,mx,,,2031.0,10.286
offshore wind power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,2010.0,1.0
petroleum coke steam turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Petroleum Coke Product,consumed,mx,,,2015.0,1.73
petroleum coke steam turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.15
petroleum coke steam turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Petroleum Coke Product,consumed,mx,,,2015.0,1.8981432669999998
petroleum coke steam turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.15
petroleum coke steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Coke Product,consumed,mx,,,2004.0,9.887652937999999
pipeline gas LNG fueling station,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,GREET,,Pipeline Gas Liquefaction Facilities,not consumed,mx,,,2015.0,1.0
pipeline gas compression and fueling station,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,GREET,,Gas Distribution Pipeline,not consumed,mx,,,2015.0,1.0
pipeline gas compression and fueling station,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,GREET,,Electricity Distribution Grid,consumed,mx,,,2015.0,0.027999999999999997
