supply_tech,geography,definition,reference_tech_id,input_unit,output_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,supply_node,efficiency_type,gau,demand_sector,resource_bin,vintage,value
Advanced Nuclear Plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Uranium Import,consumed,mx,,,2010.0,10479.0
Corn Ethanol Plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,AEO Liquid Fuels Module,,Biomass Primary - Domestic Corn,consumed,mx,,,2015.0,0.511
Corn Ethanol Plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,AEO Liquid Fuels Module,,Gas Transmission Pipeline,consumed,mx,,,2015.0,0.4461
Corn Ethanol Plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,AEO Liquid Fuels Module,,Biomass Primary - Domestic Corn,not consumed,mx,,,2015.0,0.725
Corn Ethanol Plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,AEO Liquid Fuels Module,,Coal Product,consumed,mx,,,2015.0,0.16802
Diesel ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2000.0,11.83580822
Diesel ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2016.0,8.002
Diesel ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2031.0,9.905333333
Electrode Boiler,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Electricity Distribution Grid,consumed,mx,,,2015.0,1.01
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Biomass Primary - Domestic Non-Corn Cellulosic,leaked,mx,,,2015.0,0.303
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,1.0
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,0.212
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Electricity Transmission Grid,consumed,mx,,,2015.0,0.01
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Gas Transmission Pipeline,consumed,mx,,,2015.0,-0.06
Fast-pyrolysis bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char,Liquid Hydrogen Truck Delivery,consumed,mx,,,2015.0,0.2
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2015.0,0.01
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,1.0
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Liquid Hydrogen Truck Delivery,consumed,mx,,,2015.0,0.2
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,leaked,mx,,,2015.0,0.303
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2015.0,-0.024812842
Fast-pyrolysis bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,0.28550760399999997
Fischer-Tropsch bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2015.0,-0.035
Fischer-Tropsch bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,0.788486377
Fischer-Tropsch bio-diesel plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,1.22351386
Fischer-Tropsch bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2015.0,-0.035
Fischer-Tropsch bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,0.78848614
Fischer-Tropsch bio-diesel plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,1.27151386
Fuel Oil ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2000.0,12.21198254
Fuel Oil ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2001.0,10.28571429
Fuel Oil ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2016.0,9.131
Fuel Oil ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2018.0,9.144
Gas ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2000.0,12.34502536
Gas ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2016.0,10.286
Gas ICE,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2031.0,9.778444444
Generic Demand Response,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,not consumed,mx,,,2015.0,0.0
H2 Natural Gas Reformation ,mexico,absolute,,gigajoule,h2_kilogram,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2010.0,0.002
H2 Natural Gas Reformation ,mexico,absolute,,gigajoule,h2_kilogram,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2010.0,0.165
H2 Natural Gas Reformation w/ccs,mexico,absolute,,gigajoule,h2_kilogram,linear_interpolation,nearest,,,,,,Gas Transmission Pipeline,consumed,mx,,,2010.0,0.16399999999999998
H2 Natural Gas Reformation w/ccs,mexico,absolute,,gigajoule,h2_kilogram,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2010.0,0.005
Hydroprocessed Renewable Oil  Plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores naptha byproduct,Liquid Hydrogen Truck Delivery,consumed,mx,,,2015.0,0.23954099999999998
Hydroprocessed Renewable Oil  Plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores naptha byproduct,Refined Fossil LPG Product,consumed,mx,,,2015.0,-0.19858
Hydroprocessed Renewable Oil  Plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores naptha byproduct,Diesel Blend,consumed,mx,,,2015.0,-0.43628999999999996
Hydroprocessed Renewable Oil  Plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores naptha byproduct,Biomass Primary - Domestic Lipid,not consumed,mx,,,2015.0,1.0
Hydroprocessed Renewable Oil  Plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores naptha byproduct,Biomass Primary - Domestic Lipid,consumed,mx,,,2015.0,0.5609
Hydroprocessed Renewable Oil  Plant,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores naptha byproduct,Petrochemical Feedstocks,consumed,mx,,,2015.0,-0.12989
Hydroprocessed Renewable Oil  Plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2015.0,-0.38778
Hydroprocessed Renewable Oil  Plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Lipid,not consumed,mx,,,2015.0,1.0
Hydroprocessed Renewable Oil  Plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Liquid Hydrogen Truck Delivery,consumed,mx,,,2015.0,0.23954099999999998
Hydroprocessed Renewable Oil  Plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Refined Fossil LPG Product,consumed,mx,,,2015.0,-0.15157536800000002
Hydroprocessed Renewable Oil  Plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Lipid,consumed,mx,,,2015.0,0.652476291
Hydroprocessed Renewable Oil  Plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Petrochemical Feedstocks,consumed,mx,,,2015.0,-0.12989
Hydrothermal liquefaction and hydrotreating,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Gasoline Blend,consumed,mx,,,2015.0,-1.246
Hydrothermal liquefaction and hydrotreating,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Residual Fossil Fuel Oil Product,consumed,mx,,,2015.0,-0.377
Hydrothermal liquefaction and hydrotreating,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Electricity Transmission Grid,consumed,mx,,,2015.0,0.243
Hydrothermal liquefaction and hydrotreating,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,2.97
Hydrothermal liquefaction and hydrotreating,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,1.0
Hydrothermal liquefaction and hydrotreating w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,not consumed,mx,,,2015.0,1.0
Hydrothermal liquefaction and hydrotreating w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2015.0,-0.33442526300000003
Hydrothermal liquefaction and hydrotreating w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Gasoline Blend,consumed,mx,,,2015.0,-1.199433053
Hydrothermal liquefaction and hydrotreating w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,3.190558358
Hydrothermal liquefaction and hydrotreating w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2015.0,0.243
Industrial Coal Boiler,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Coal Product,consumed,mx,,,2015.0,1.111111111
Industrial Distillate Fuel Oil Boiler,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Diesel Blend,consumed,mx,,,2015.0,1.111111111
Industrial LPG Boiler,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Refined Fossil LPG Product,consumed,mx,,,2015.0,1.111111111
Industrial Other Petroleum Boiler,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Other Petroleum Import,consumed,mx,,,2015.0,1.111111111
Industrial Petroleum Coke Boiler,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Petroleum Coke Product,consumed,mx,,,2015.0,1.111111111
Industrial Pipeline Gas Boiler,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Gas Transmission Pipeline,consumed,mx,,,2015.0,1.162790698
Industrial Pulping Liquors Oil Boiler,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Biomass Primary - Domestic Pulping Liquors,consumed,mx,,,2015.0,1.428571429
Industrial Residual Fuel Oil Oil Boiler,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Residual Fossil Fuel Oil Product,consumed,mx,,,2015.0,1.111
Industrial Woody Biomass Boiler,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,1.25
Onshore wind power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,1994.0,1.0
Onshore wind power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,2000.0,1.0
Onshore wind power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,2009.0,1.0
Onshore wind power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,2010.0,1.0
Onshore wind power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,2012.0,1.0
Onshore wind power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,2013.0,1.0
Onshore wind power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,2014.0,1.0
Onshore wind power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,2016.0,1.0
Relicensed Nuclear Power Plants,mexico,relative,25.0,,,,,,,,,,,,,,,,
Wave Power Plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Wind Primary,consumed,mx,,,2015.0,1.0
biomass cogen IPP power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-1.34
biomass cogen IPP power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,6.22
biomass cogen IPP power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-1.34
biomass cogen IPP power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,6.613841516
biomass cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,1.97
biomass cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.17
biomass cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Biomass Primary - Domestic Non-Corn Cellulosic,consumed,mx,,,2015.0,2.137240463
biomass cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.17
biomass power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,,,,,,,
bulk battery storage,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Bulk Electricity Blend,consumed,mx,,,2010.0,1.25
central hydrogen grid electrolysis,mexico,absolute,,kilowatt_hour,h2_kilogram,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2010.0,50.0
central hydrogen grid electrolysis,mexico,absolute,,kilowatt_hour,h2_kilogram,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2025.0,46.0
central solar thermo hydrogen production,mexico,absolute,,kilowatt_hour,h2_kilogram,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2030.0,0.16
central solar thermo hydrogen production,mexico,absolute,,kilowatt_hour,h2_kilogram,linear_interpolation,nearest,,,,,,Solar Primary,consumed,mx,,,2030.0,39.5
coal IGCC power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,,,,,,,
coal IGCC with CCS power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2009.0,10700.0
coal IGCC with CCS power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2024.0,8307.0
coal steam turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-0.31
coal steam turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2015.0,3.89
coal steam turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-0.31
coal steam turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2015.0,4.164554644
coal steam turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.2
coal steam turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2015.0,2.0
coal steam turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.2
coal steam turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2015.0,2.171936
coal steam turbine power plant with CCS,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2009.0,12000.0
coal steam turbine power plant with CCS,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2024.0,9316.0
distillate oil combustion turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2015.0,2.7
distillate oil combustion turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-0.08
distillate oil combustion turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-0.08
distillate oil combustion turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2015.0,2.860776
distillate oil combustion turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.32
distillate oil combustion turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2015.0,2.23
distillate oil combustion turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.32
distillate oil combustion turbine cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2015.0,2.3712334
distillate oil combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,1969.0,19.4830788
distillate oil combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2000.0,19.39358288
distillate oil combustion turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2003.0,22.34636872
distillate oil steam turbine power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Diesel Blend,consumed,mx,,,2000.0,11.79622839
distllate oil steam turbine cogen power plant,mexico,relative,55.0,Btu,Btu,linear_interpolation,nearest,,,,,,,,,,,,
distributed battery storage,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2010.0,1.25
distribution-sited solar PV power plant,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Solar Primary,consumed,mx,,,2010.0,1.0
