supply_tech,definition,reference_tech_id,geography,currency,currency_year,capacity_or_energy_unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,gau,demand_sector,resource_bin,vintage,value
distillate oil steam turbine power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,30.38
distllate oil steam turbine cogen power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,3.34
distributed battery storage,absolute,,mexico,USD,2009.0,kilowatt,,linear_interpolation,nearest,,,,,,,,,,
distribution-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,16.5
distribution-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,14.85
distribution-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2016.0,13.2
distribution-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2017.0,11.55
distribution-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2018.0,9.9
distribution-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2019.0,8.25
distribution-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2020.0,8.25
fossil waste steam turbine cogen power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,7.29
fossil waste steam turbine cogen power plant w/ccs,relative,56.0,,,,,,,,,,,,,,,,,
fossil waste steam turbine power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,30.38
fuel cell power plant,absolute,,mexico,USD,2013.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.0
gas cogen composite power plant,absolute,,mexico,USD,2005.0,kilowatt,,linear_interpolation,nearest,,,,,,,,,,
gas combined cycle IPP cogen power plant,relative,28.0,,,,,,,,,,,,,,,,,
