supply_node,geography,capacity_or_energy_unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,demand_sector,supply_technology,vintage,value,resource_bin
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,baja california (zdr),,Diesel ICE,2000,1.825,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,baja california sur (zdr),,Fuel Oil ICE,2000,135.03,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,baja california sur (zdr),,Fuel Oil ICE,2001,162.7,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,Gas ICE,2000,13.026,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,Diesel ICE,2000,56.297,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,Gas ICE,2000,23.055,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,Diesel ICE,2000,19.255,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,Fuel Oil ICE,2000,1.8,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,Diesel ICE,2000,50.225,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,Diesel ICE,2000,31.345,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,Gas ICE,2000,9.094,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,Fuel Oil ICE,2000,38.26,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,Diesel ICE,2000,10.3,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,Gas ICE,2000,18.5,
Internal Combustion Engines,zonas de reserva,megawatt,,none,none,,,,,peninsular (zdr),,Fuel Oil ICE,2000,3.2,
Nuclear Power Plants,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,nuclear power plant,1990,1510.0,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,baja california (zdr),,Onshore wind power plant,2000,10.0,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,baja california sur (zdr),,Onshore wind power plant,2000,0.6,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,Onshore wind power plant,2000,76.0,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,noreste (zdr),,Onshore wind power plant,2016,252.0,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,Onshore wind power plant,2000,2.0,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,Onshore wind power plant,2000,50.4,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,Onshore wind power plant,2014,200.0,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,Onshore wind power plant,1994,187.05,1.0
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,Onshore wind power plant,2000,709.55,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,Onshore wind power plant,2009,250.5,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,Onshore wind power plant,2010,102.0,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,Onshore wind power plant,2012,545.5,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,Onshore wind power plant,2013,324.0,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,oriental (zdr),,Onshore wind power plant,2014,234.0,
Onshore Wind,zonas de reserva,megawatt,,none,none,,,,,peninsular (zdr),,Onshore wind power plant,2000,1.5,
Transmission-Sited Solar PV,zonas de reserva,megawatt,,none,none,,,,,baja california (zdr),,transmission-sited solar PV power plant,2000,6.04,
Transmission-Sited Solar PV,zonas de reserva,megawatt,,none,none,,,,,baja california sur (zdr),,transmission-sited solar PV power plant,2000,31.0,
Transmission-Sited Solar PV,zonas de reserva,megawatt,,none,none,,,,,central (zdr),,transmission-sited solar PV power plant,2000,0.92,
Transmission-Sited Solar PV,zonas de reserva,megawatt,,none,none,,,,,noroeste (zdr),,transmission-sited solar PV power plant,2000,0.986,
Transmission-Sited Solar PV,zonas de reserva,megawatt,,none,none,,,,,norte (zdr),,transmission-sited solar PV power plant,2000,15.63,
Transmission-Sited Solar PV,zonas de reserva,megawatt,,none,none,,,,,occidental (zdr),,transmission-sited solar PV power plant,2000,1.76308,
