name,supply_type,tradable_geography,is_active,is_curtailable,is_exportable,is_flexible,residual_supply_node,mean_lifetime,lifetime_variance,max_lifetime,min_lifetime,stock_decay_function,cost_of_capital,book_life,geography_map_key,shape,max_lag_hours,max_lead_hours,enforce_potential_constraint
Power-to-Gas Production Facilities,Conversion,,True,1.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Refined Fossil Diesel Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Refined Fossil Gasoline Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Refined Fossil Jet Fuel Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Refined Fossil Kerosene Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Refined Fossil LPG Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Renewable Diesel Production Facilities,Conversion,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Renewable Diesel Production Facilities w/CCS,Conversion,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Renewable Jet-Fuel Production Facilities,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Residual Fossil Fuel Oil Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Rooftop Solar PV,Conversion,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,rooftop_pv,,,True
Run of River Hydroelectric Power Plants,Conversion,,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Solar Primary,Primary,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Solar Thermal Hydrogen Production,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,csp_no_storage,,,True
Solar Thermal Power Plants,Conversion,,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,csp_no_storage,,,True
Steam Blend,Blend,,True,,,,Industrial Boilers,,,40.0,40.0,weibull,0.1,40.0,,,,,True
Thermal Dispatch Blend,Blend,,True,,,,Combined-Cycle Gas Turbines,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Transmission-Sited Solar PV,Conversion,,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,utility_pv,,,True
Uranium - Primary,Primary,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Uranium Import,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
Wave Power Plants,Conversion,,True,,,,,,,,,,,,,,,,True
Wind Primary,Primary,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True
