demand_technology,definition,reference_tech,geography,other_index_1,other_index_2,currency,currency_year,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,additional_description,source,notes,gau,oth_1,oth_2,vintage,value,sensitivity
Reference Diesel Heavy-Duty Vehicle,absolute,,mexico,,,USD,2016.0,linear_interpolation,nearest,,,,based on http://atri-online.org/wp-content/uploads/2016/10/ATRI-Operational-Costs-of-Trucking-2016-09-2016.pdf,,,mx,,,2016.0,9195.53,
Reference Gasoline Heavy-Duty Vehicle,relative,Reference Diesel Heavy-Duty Vehicle,mexico,,,,,linear_interpolation,nearest,,,,,,,mx,,,2016.0,1.0,
Reference Gasoline Light-Duty Auto,absolute,,mexico,,,USD,2008.0,linear_interpolation,nearest,,,,,,,mx,,,2016.0,374.0,
Reference Gasoline Light-Duty Truck,absolute,,mexico,,,USD,2008.0,linear_interpolation,nearest,,,,,,,mx,,,2016.0,533.0,
Reference LPG Medium-Duty Vehicle,relative,Reference Medium - Duty Diesel Vehicle,mexico,,,,,linear_interpolation,nearest,,,,,,,mx,,,2016.0,1.0,
Reference Medium - Duty Diesel Vehicle,absolute,,mexico,,,USD,2016.0,linear_interpolation,nearest,,,,based on http://atri-online.org/wp-content/uploads/2016/10/ATRI-Operational-Costs-of-Trucking-2016-09-2016.pdf,,,mx,,,2016.0,1770.66,
Reference Medium-Duty CNG Vehicle,relative,Reference Medium - Duty Diesel Vehicle,mexico,,,,,linear_interpolation,nearest,,,,,,,mx,,,2016.0,1.0,
Reference Medium-Duty Gasoline Vehicle,relative,Reference Medium - Duty Diesel Vehicle,mexico,,,,,linear_interpolation,nearest,,,,,,,mx,,,2016.0,1.0,
Reference Propane Heavy-Duty Vehicle,relative,Reference Diesel Heavy-Duty Vehicle,mexico,,,,,linear_interpolation,nearest,,,,,,,mx,,,2016.0,1.0,
Reference TDI Light-Duty Auto,absolute,,mexico,,,USD,2008.0,linear_interpolation,nearest,,,,,,,mx,,,2010.0,374.0,
Reference TDI Light-Duty Truck,absolute,,mexico,,,USD,2008.0,linear_interpolation,nearest,,,,,,,mx,,,2010.0,533.0,
Autonomous Electric Light-Duty Auto,relative,Electric Light-Duty Auto - 200 mile range,mexico,,,USD,2016.0,linear_interpolation,nearest,,,,,,,mx,,,2016.0,5.0,equal to reference tech
Autonomous Electric Light-Duty Truck,relative,Electric Light-Duty Truck - 200 mile range,mexico,,,USD,2016.0,linear_interpolation,nearest,,,,,,,mx,,,2016.0,5.0,equal to reference tech
Battery Electric Medium-Duty Vehicle,relative,Reference Medium - Duty Diesel Vehicle,mexico,,,,,linear_interpolation,nearest,,,,,,,mx,,,2016.0,1.0,high cost (equal to reference tech)
CNG Transit bus,relative,Diesel Transit bus,mexico,,,,,linear_interpolation,nearest,,,,,,,mx,,,2016.0,1.0,high cost (equal to reference tech)
Electric Light-Duty Auto - 100 mile range,relative,Reference Gasoline Light-Duty Auto,mexico,,,,,linear_interpolation,nearest,,,,,,,mx,,,2016.0,1.0,high cost (equal to reference tech)
