supply_tech,geography,reference_tech_id,definition,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,gau,oth_1,resource_bin,vintage,value,sensitivity
nuclear power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1990.0,0.7795,
offshore wind power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.4,
petroleum coke steam turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.6,
petroleum coke steam turbine cogen power plant w/ccs,mexico,52.0,relative,,,,,,,,,,,,,
petroleum coke steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2004.0,0.8194,
power-to-gas methanation,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.5,
pulverized coal power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1982.0,0.8194,
pulverized coal power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1993.0,0.8194,
residual oil combustion turbine IPP cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.65,
residual oil combustion turbine IPP cogen power plant w/ccs,mexico,71.0,relative,,,,,,,,,,,,,
residual oil combustion turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.65,
residual oil combustion turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.9,
residual oil steam turbine cogen power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2015.0,0.4,
residual oil steam turbine cogen power plant w/ccs,mexico,55.0,relative,,,,,,,,,,,,,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1963.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1964.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1971.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1976.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1981.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1982.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1985.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1986.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1991.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,1998.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2000.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2001.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2003.0,0.7,
residual oil steam turbine power plant,mexico,,absolute,linear_interpolation,nearest,,,,,,mx,,,2006.0,0.7,
