currency,year,value
MXN,2013,12.7593
CAD,2013,1.029995
MTL,2013,0.323365
RUB,2013,31.85402
CHF,2013,0.92699
LVL,2013,0.528305
CNY,2013,6.194335
LTL,2013,2.600625
NOK,2013,5.878445
GBP,2014,0.60729
EUR,2014,0.75362
ROL,2014,33486.96959
SKK,2014,22.703585
DKK,2014,5.61802
CZK,2014,20.75223
CYP,2014,0.441075
THB,2014,32.48056
TRY,2014,2.18753
CHF,2014,0.915165
CAD,2014,1.104265
BRL,2014,2.35205
TRL,2014,2185062.904
BGN,2014,1.47399
ZAR,2014,10.843595
AUD,2014,1.10966
EEK,2014,11.791605
CNY,2014,6.145685
JPY,2014,105.85029
LVL,2014,0.529645
MYR,2014,3.27235
MXN,2014,13.303245
SEK,2014,6.86127
INR,2014,60.959585
RON,2014,3.348695
NOK,2014,6.30279
MTL,2014,0.32353
KRW,2014,1053.312255
ILS,2014,3.57569
SGD,2014,1.26702
ISK,2014,116.64057
NZD,2014,1.206075
PHP,2014,44.39396
IDR,2014,11849.92699
HUF,2014,232.59523
HRK,2014,5.75334
PLN,2014,3.154645
SIT,2014,180.5977
LTL,2014,2.602105
RUB,2014,38.53273
HKD,2014,7.754655
USD,2014,1.0
LVL,2015,0.633265
CAD,2015,1.27787
MTL,2015,0.386825
THB,2015,34.243345
MXN,2015,15.865295
MYR,2015,3.90297
TRL,2015,2722936.466
RUB,2015,61.151505
NOK,2015,8.061255
BGN,2015,1.76246
NZD,2015,1.433545
PHP,2015,45.51905
AUD,2015,1.331235
PLN,2015,3.76926
ROL,2015,40056.30014
BRL,2015,3.331235
RON,2015,4.00563
HUF,2015,279.21922
LTL,2015,3.11117
SIT,2015,215.929005
GBP,2015,0.65429
HKD,2015,7.752445
EUR,2015,0.901055
HRK,2015,6.859345
EEK,2015,14.09846
IDR,2015,13391.71809
SGD,2015,1.374445
SKK,2015,27.145205
TRY,2015,2.723275
ILS,2015,3.886965
DKK,2015,6.72117
INR,2015,64.11554
CZK,2015,24.585555
USD,2015,1.0
ISK,2015,131.793005
CYP,2015,0.527365
SEK,2015,8.432405
CNY,2015,6.227875
JPY,2015,121.046645
KRW,2015,1131.88264
ZAR,2015,12.759195
CHF,2015,0.96236
USD,2016,1.0
TRY,2016,3.022985
KRW,2016,1160.84115
THB,2016,35.287075
IDR,2016,13308.01203
HUF,2016,281.50561
HRK,2016,6.81004
HKD,2016,7.7622
GBP,2016,0.74031
EUR,2016,0.90386
EEK,2016,14.14234
ILS,2016,3.839765
DKK,2016,6.72964
CYP,2016,0.529005
CNY,2016,6.642865
CHF,2016,0.985115
CAD,2016,1.32545
BRL,2016,3.48932
BGN,2016,1.76797
AUD,2016,1.345525
CZK,2016,24.434515
TRL,2016,3022986.995
INR,2016,67.174685
JPY,2016,108.767255
SKK,2016,27.22969
SIT,2016,216.60104
SGD,2016,1.381025
SEK,2016,8.560415
RUB,2016,66.975215
RON,2016,4.05966
ROL,2016,40596.61489
ISK,2016,120.72728
PLN,2016,3.943975
NZD,2016,1.436325
NOK,2016,8.401295
MYR,2016,4.14443
MXN,2016,18.67791
MTL,2016,0.38803
LVL,2016,0.63524
LTL,2016,3.120845
PHP,2016,47.488755
ZAR,2016,14.71341
